Timestamp,Uniquename,Anticipated Grad Date,Questions/suggestions? (if any)
10/17/2019 18:46:20,nkono,2021,
10/17/2019 18:46:41,seanmcsw,2022,
10/17/2019 18:46:42,ryansiu,2021,
10/17/2019 18:47:28,eashwar,2020,
10/17/2019 18:47:30,thsm,2022,
10/17/2019 18:47:33,rkhzouz,2021,
10/17/2019 18:47:47,junlinmo ,2021,
10/17/2019 18:47:59,chafke,2020,
10/17/2019 18:49:12,Cjrwill,2021,
10/17/2019 18:51:34,aravagar,2022,
10/17/2019 18:52:12,ibirley,2023,
10/17/2019 18:52:27,jlmurry,2021,
10/17/2019 18:54:08,neelrp,2021,
10/17/2019 18:54:57,aryans,2023,
10/17/2019 18:56:24,Lockejus,2023,
10/17/2019 18:56:25,edwhuang,2022,
10/17/2019 18:57:58,abbansal,2022,
10/17/2019 18:57:59,sanatht,2022,
10/17/2019 18:58:35,rogr,2023,
10/17/2019 18:58:36,wiljwang,2023,
10/17/2019 18:58:37,baderm,2022,
10/17/2019 18:58:44,lokrajs,2022,
10/17/2019 18:59:12,Dharivib,2023,
10/17/2019 18:59:53,nischal,2021,
10/17/2019 19:01:48,oshulman,2022,
10/17/2019 19:02:13,ondrejk,2023,
10/17/2019 19:04:00,mgmii,2023,
10/17/2019 19:04:08,singhha,2022,
10/17/2019 19:04:22,angelai,2023,
10/17/2019 19:04:53,Eamesa,2023,
10/17/2019 19:05:01,tybrandt,2023,
10/17/2019 19:05:25,doraguo,2023,
10/17/2019 19:09:34,Jesum,2023,
10/17/2019 19:09:50,cindygu,2022,
10/17/2019 19:10:17,mtamba,2023,
10/17/2019 19:11:27,whahr,2022,
10/17/2019 19:12:02,omidsh,2023,
10/17/2019 19:13:12,abrahaja,2022,
10/17/2019 19:13:18,theocruz,2021,
10/17/2019 19:14:10,jakoba,2022,
10/17/2019 19:14:28,alexzw,2021,
10/17/2019 19:16:28,rckhzouz,2021,
10/17/2019 19:16:59,darmawan,2023,
10/17/2019 19:17:04,rsorkin,2022,
10/17/2019 19:17:32,mohami,2022,
10/17/2019 19:24:51,cathsu,2020,NO NERDS
10/17/2019 19:25:01,alatreil,2023,
10/17/2019 19:26:04,tanst,2023,
10/17/2019 19:26:34,shreeyar ,2023,I have to miss part of a lot of meetings because I always have exams on only Thursday so would I still be able to win prizes?
10/17/2019 19:27:02,drewchen,2023,
10/17/2019 19:27:26,aliibrah ,2022,
10/17/2019 19:32:11,aveekdg,2023,N/A
10/17/2019 19:36:19,willzs,2022,
10/17/2019 19:38:27,jenil,2023,
10/17/2019 19:38:42,cblesy,2023,
10/17/2019 19:40:53,mabelcha,2021,
10/17/2019 19:41:08,hoganmas,2023,
10/17/2019 19:41:19,sfancher,2023,N/A
10/17/2019 19:41:28,ebutch,2021,
10/17/2019 19:43:06,ricwong,2023,
10/17/2019 19:43:22,jackxliu,2023,
10/17/2019 19:46:47,leonhadi,2021,
10/17/2019 19:47:49,rmariana,2023,
10/17/2019 19:55:53,ershan,2021,
10/17/2019 20:09:43,weirongw,2023,
10/17/2019 20:20:46,rbtm,2021,
10/17/2019 20:20:52,ljeff,2023,
10/17/2019 20:21:40,hoal,2023,
10/17/2019 20:24:13,nitishv,2023,
10/17/2019 20:54:22,adrianjj,2022,
10/17/2019 20:54:59,ananyaj@umich.edu,2023,
10/18/2019 8:46:26,duttar,2021,How do we get in further contact with mentors?
